country,bus0,bus1,bus2,bus3,type,link,carrier,p_nom,p_nom_extendable,p_nom_max_2025,p_nom_max_2030,p_nom_max_2035,p_nom_max_2040,p_nom_max_2045,p_nom_max_2050,p_nom_min_2025,p_nom_min_2030,p_nom_min_2035,p_nom_min_2040,p_nom_min_2045,p_nom_min_2050
MX,MX_OILN,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_ATMP,MX_CO2STORN,OILT_TB,MX_OILN_to_MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_by_OILT_TB,Oil,29.7,False,29.7,29.7,29.7,,,,29.7,29.7,29.7,,,
MX,MX_OILN,MX_BCS_N50_VILLA_CONSTITUCION_HVELEC,MX_ATMP,MX_CO2STORN,OILT_CI,MX_OILN_to_MX_BCS_N50_VILLA_CONSTITUCION_HVELEC_by_OILT_CI,Oil,51.45,False,51.45,51.45,51.45,,,,51.45,51.45,51.45,,,
MX,MX_OILN,MX_BCS_N51_LA_PAZ_HVELEC,MX_ATMP,MX_CO2STORN,OILT_TB,MX_OILN_to_MX_BCS_N51_LA_PAZ_HVELEC_by_OILT_TB,Oil,80.1,False,80.1,80.1,80.1,,,,80.1,80.1,80.1,,,
MX,MX_OILN,MX_BCS_N51_LA_PAZ_HVELEC,MX_ATMP,MX_CO2STORN,OILT_CI,MX_OILN_to_MX_BCS_N51_LA_PAZ_HVELEC_by_OILT_CI,Oil,93.6,False,93.6,93.6,93.6,,,,93.6,93.6,93.6,,,
MX,MX_OILN,MX_BCS_N51_LA_PAZ_HVELEC,MX_ATMP,MX_CO2STORN,OILT_TE,MX_OILN_to_MX_BCS_N51_LA_PAZ_HVELEC_by_OILT_TE,Oil,51.0,False,51.0,51.0,0.0,,,,51.0,51.0,0.0,,,
MX,MX_GASN,MX_BCS_N51_LA_PAZ_HVELEC,MX_ATMP,MX_CO2STORN,OCGT,MX_GASN_to_MX_BCS_N51_LA_PAZ_HVELEC_by_OCGT,Gas,143.5,False,143.5,143.5,143.5,,,,143.5,143.5,143.5,,,
MX,MX_OILN,MX_BCS_N52_LOS_CABOS_HVELEC,MX_ATMP,MX_CO2STORN,OILT_TB,MX_OILN_to_MX_BCS_N52_LOS_CABOS_HVELEC_by_OILT_TB,Oil,217.0,False,217.0,217.0,217.0,,,,217.0,217.0,217.0,,,
MX,MX_OILN,MX_BCS_N52_LOS_CABOS_HVELEC,MX_ATMP,MX_CO2STORN,OILT_CI,MX_OILN_to_MX_BCS_N52_LOS_CABOS_HVELEC_by_OILT_CI,Oil,4.0,False,4.0,4.0,4.0,,,,4.0,4.0,4.0,,,
MX,MX_GASN,MX_BCS_N52_LOS_CABOS_HVELEC,MX_ATMP,MX_CO2STORN,OCGT,MX_GASN_to_MX_BCS_N52_LOS_CABOS_HVELEC_by_OCGT,Gas,240.0,False,240.0,240.0,240.0,,,,240.0,240.0,240.0,,,
MX,MX_OILN,MX_BCS_N53_MULEGE_HVELEC,MX_ATMP,MX_CO2STORN,OILT_TB,MX_OILN_to_MX_BCS_N53_MULEGE_HVELEC_by_OILT_TB,Oil,60.0,False,60.0,60.0,60.0,,,,60.0,60.0,60.0,,,
MX,MX_OILN,MX_BCS_N53_MULEGE_HVELEC,MX_ATMP,MX_CO2STORN,OILT_CI,MX_OILN_to_MX_BCS_N53_MULEGE_HVELEC_by_OILT_CI,Oil,41.0,False,41.0,41.0,41.0,,,,41.0,41.0,41.0,,,
